user_key,assigned_at,plan_type,assigning_team,seat_status,pending_cancellation_date
usr_e2b15f512599d4a3,2026-06-15,business,Engineering,assigned,
usr_3ade6ad8094cba86,2026-06-04,business,Data,assigned,
usr_db1ca23ee62f0485,2026-05-24,business,Product,assigned,
usr_acae9abb06c10c23,2026-05-13,business,Security,assigned,
usr_5a7526fcb1e2a11d,2026-05-02,business,Customer Success,assigned,
usr_a7c331a50e0f3396,2026-04-21,business,Operations,assigned,
usr_bbd311ca253f3dd8,2026-04-10,business,Engineering,assigned,
usr_bdc9bda9a0ee2b2a,2026-03-30,business,Data,assigned,
usr_f50378e3943fb661,2026-03-19,business,Product,assigned,
usr_b3ddd81122075c74,2026-03-08,business,Security,assigned,
usr_3ff06418f51c7f31,2026-02-25,business,Customer Success,assigned,
usr_f934018e6dd8fdc1,2026-02-14,business,Operations,assigned,
usr_acaee7d1228cbef9,2026-02-03,business,Engineering,assigned,
usr_27d29533a4f9f454,2026-01-23,business,Data,assigned,
usr_436dde314775d503,2026-01-12,business,Product,assigned,
usr_a3665f74913c4614,2026-01-01,business,Security,assigned,
usr_8c010d0fe43cb0cc,2025-12-21,business,Customer Success,assigned,
usr_a9f79c7ff9f7ce74,2025-12-10,business,Operations,assigned,
usr_e79410a9435fd4e9,2025-11-29,business,Engineering,assigned,
usr_d674ae091a1f3c95,2025-11-18,business,Data,assigned,
usr_3967c5a4350bd8c5,2025-11-07,business,Product,assigned,
usr_fc93b905c5fa4347,2025-10-27,business,Security,assigned,
usr_142acc0edba83814,2025-10-16,business,Customer Success,assigned,
usr_c5f19fd330811f8f,2025-10-05,business,Operations,assigned,
usr_fc21918340c6de0f,2025-09-24,business,Engineering,assigned,
usr_65a055a1b4854f0e,2025-09-13,business,Data,assigned,
usr_c59d9e03f7687362,2025-09-02,business,Product,assigned,
usr_7bd3dcb6f3c6462a,2025-08-22,business,Security,assigned,
usr_e450b06f6ac38a4c,2025-08-11,business,Customer Success,assigned,
usr_688525480e834100,2025-07-31,business,Operations,assigned,
usr_d6b40bfce673d513,2025-07-20,business,Engineering,assigned,
usr_b3fb92ffd605ecb5,2025-07-09,business,Data,assigned,
usr_2030985f09c4d218,2025-06-28,business,Product,assigned,
usr_1c2f3e824e356758,2025-06-17,business,Security,assigned,
usr_481f92b5c7c72df2,2025-06-06,business,Customer Success,assigned,
usr_5a39658afa0ec026,2025-05-26,business,Operations,assigned,
usr_e629f71e8503a479,2025-05-15,business,Engineering,assigned,
usr_8b1d32f5b46a45c0,2025-05-04,business,Data,assigned,
usr_3e72c7fa8c04f030,2026-06-17,business,Product,assigned,
usr_96fe54a91a18df37,2026-06-06,business,Security,assigned,
usr_9e7c023088bec9d2,2026-05-26,business,Customer Success,assigned,
usr_4ebe8abdb2b90f0f,2026-05-15,business,Operations,assigned,
usr_101ed92224f9368b,2026-05-04,business,Engineering,assigned,
usr_deed9a5b9ec85264,2026-04-23,business,Data,assigned,
usr_88adb3fe8ffa08f0,2026-04-12,business,Product,assigned,
usr_837f8a013b185b06,2026-04-01,business,Security,assigned,
usr_310e6dffc4e16303,2026-03-21,business,Customer Success,assigned,
usr_a422eaf52dc5f579,2026-03-10,business,Operations,assigned,
usr_e54422cd223d15f7,2026-02-27,business,Engineering,assigned,
usr_27b297f3396e485a,2026-02-16,business,Data,assigned,
usr_3d9f4063ec364a90,2026-02-05,business,Product,assigned,
usr_eafdfb97eaf8933c,2026-01-25,business,Security,assigned,
usr_1ff0704205a7761a,2026-01-14,business,Customer Success,assigned,
usr_a25a8bf2287203ea,2026-01-03,business,Operations,assigned,
usr_5340e099e0b8ba4a,2025-12-23,business,Engineering,assigned,
usr_06f04208965b330e,2025-12-12,business,Data,assigned,
usr_d8dd19ad8d160736,2025-12-01,business,Product,assigned,
usr_53daa644c3c5afd0,2025-11-20,business,Security,assigned,
usr_008abfe21aa8cf02,2025-11-09,business,Customer Success,assigned,
usr_437e639e1f889660,2025-10-29,business,Operations,assigned,
usr_613dd210fa3fd9be,2025-10-18,business,Engineering,assigned,
usr_38fa1675e8decfc4,2025-10-07,business,Data,assigned,
usr_db3b2404d51329f3,2025-09-26,business,Product,assigned,
usr_95f31178f258bb6d,2025-09-15,business,Security,assigned,
usr_c9d1cde1bc783fe6,2025-09-04,business,Customer Success,assigned,
usr_f94f5f402b3cb4f7,2025-08-24,business,Operations,assigned,
usr_1043bedff447cb00,2025-08-13,business,Engineering,assigned,
usr_88a1286a9ffd7454,2025-08-02,business,Data,assigned,
usr_557e531267e1d13c,2025-07-22,business,Product,assigned,
usr_f7f57bdd17113fbf,2025-07-11,business,Security,assigned,
usr_a55994ea377099a5,2025-06-30,business,Customer Success,assigned,
usr_69031f13baf2d4e4,2025-06-19,business,Operations,assigned,
usr_7fb60467b69a5fda,2025-06-08,business,Engineering,assigned,
usr_956ddf5200045b76,2025-05-28,business,Data,assigned,
usr_75b0073a4fd2f43b,2025-05-17,business,Product,assigned,
usr_9bc5f8306ff6a4c1,2025-05-06,business,Security,assigned,
usr_9469dffa932c7545,2026-06-19,business,Customer Success,assigned,
usr_c23412b0c3756e0c,2026-06-08,business,Operations,assigned,
