user_key,department,cost_center,employment_status,critical_access
usr_e2b15f512599d4a3,Engineering,CC-ENG,active,false
usr_3ade6ad8094cba86,Data,CC-DATA,active,false
usr_db1ca23ee62f0485,Product,CC-PROD,active,false
usr_acae9abb06c10c23,Security,CC-SEC,active,false
usr_5a7526fcb1e2a11d,Customer Success,CC-CS,active,false
usr_a7c331a50e0f3396,Operations,CC-OPS,active,false
usr_bbd311ca253f3dd8,Engineering,CC-ENG,active,false
usr_bdc9bda9a0ee2b2a,Data,CC-DATA,active,false
usr_f50378e3943fb661,Product,CC-PROD,active,false
usr_b3ddd81122075c74,Security,CC-SEC,active,false
usr_3ff06418f51c7f31,Customer Success,CC-CS,active,false
usr_f934018e6dd8fdc1,Operations,CC-OPS,active,false
usr_acaee7d1228cbef9,Engineering,CC-ENG,active,false
usr_27d29533a4f9f454,Data,CC-DATA,active,false
usr_436dde314775d503,Product,CC-PROD,active,false
usr_a3665f74913c4614,Security,CC-SEC,active,false
usr_8c010d0fe43cb0cc,Customer Success,CC-CS,active,false
usr_a9f79c7ff9f7ce74,Operations,CC-OPS,active,false
usr_e79410a9435fd4e9,Engineering,CC-ENG,active,false
usr_d674ae091a1f3c95,Data,CC-DATA,active,false
usr_3967c5a4350bd8c5,Product,CC-PROD,active,false
usr_fc93b905c5fa4347,Security,CC-SEC,active,false
usr_142acc0edba83814,Customer Success,CC-CS,active,true
usr_c5f19fd330811f8f,Operations,CC-OPS,active,false
usr_fc21918340c6de0f,Engineering,CC-ENG,active,false
usr_65a055a1b4854f0e,Data,CC-DATA,active,false
usr_c59d9e03f7687362,Product,CC-PROD,active,false
usr_7bd3dcb6f3c6462a,Security,CC-SEC,active,false
usr_e450b06f6ac38a4c,Customer Success,CC-CS,active,false
usr_688525480e834100,Operations,CC-OPS,active,false
usr_d6b40bfce673d513,Engineering,CC-ENG,active,false
usr_b3fb92ffd605ecb5,Data,CC-DATA,active,false
usr_2030985f09c4d218,Product,CC-PROD,active,false
usr_1c2f3e824e356758,Security,CC-SEC,active,false
usr_481f92b5c7c72df2,Customer Success,CC-CS,active,false
usr_5a39658afa0ec026,Operations,CC-OPS,active,false
usr_e629f71e8503a479,Engineering,CC-ENG,active,false
usr_8b1d32f5b46a45c0,Data,CC-DATA,active,false
usr_3e72c7fa8c04f030,Product,CC-PROD,active,false
usr_96fe54a91a18df37,Security,CC-SEC,active,false
usr_9e7c023088bec9d2,Customer Success,CC-CS,active,false
usr_4ebe8abdb2b90f0f,Operations,CC-OPS,active,false
usr_101ed92224f9368b,Engineering,CC-ENG,active,false
usr_deed9a5b9ec85264,Data,CC-DATA,active,false
usr_88adb3fe8ffa08f0,Product,CC-PROD,active,false
usr_837f8a013b185b06,Security,CC-SEC,active,true
